date,Rolex Market Index (USD)
Tue Aug 28 2018,18327
Wed Aug 29 2018,18321
Thu Aug 30 2018,18324
Fri Aug 31 2018,18339
Sat Sep 01 2018,18339
Sun Sep 02 2018,18358
Mon Sep 03 2018,18356
Tue Sep 04 2018,18358
Wed Sep 05 2018,18338
Thu Sep 06 2018,18376
Fri Sep 07 2018,18382
Sat Sep 08 2018,18383
Sun Sep 09 2018,18380
Mon Sep 10 2018,18412
Tue Sep 11 2018,18427
Wed Sep 12 2018,18424
Thu Sep 13 2018,18430
Fri Sep 14 2018,18428
Sat Sep 15 2018,18414
Sun Sep 16 2018,18436
Mon Sep 17 2018,18438
Tue Sep 18 2018,18442
Wed Sep 19 2018,18422
Thu Sep 20 2018,18419
Fri Sep 21 2018,18343
Sat Sep 22 2018,18327
Sun Sep 23 2018,18350
Mon Sep 24 2018,18333
Tue Sep 25 2018,18366
Wed Sep 26 2018,18413
Thu Sep 27 2018,18414
Fri Sep 28 2018,18410
Sat Sep 29 2018,18433
Sun Sep 30 2018,18428
Mon Oct 01 2018,18434
Tue Oct 02 2018,18427
Wed Oct 03 2018,18415
Thu Oct 04 2018,18428
Fri Oct 05 2018,18417
Sat Oct 06 2018,18402
Sun Oct 07 2018,18412
Mon Oct 08 2018,18413
Tue Oct 09 2018,18419
Wed Oct 10 2018,18421
Thu Oct 11 2018,18433
Fri Oct 12 2018,18450
Sat Oct 13 2018,18444
Sun Oct 14 2018,18437
Mon Oct 15 2018,18448
Tue Oct 16 2018,18439
Wed Oct 17 2018,18446
Thu Oct 18 2018,18433
Fri Oct 19 2018,18446
Sat Oct 20 2018,18422
Sun Oct 21 2018,18423
Mon Oct 22 2018,18416
Tue Oct 23 2018,18417
Wed Oct 24 2018,18406
Thu Oct 25 2018,18394
Fri Oct 26 2018,18360
Sat Oct 27 2018,18359
Sun Oct 28 2018,18368
Mon Oct 29 2018,18411
Tue Oct 30 2018,18444
Wed Oct 31 2018,18428
Thu Nov 01 2018,18418
Fri Nov 02 2018,18455
Sat Nov 03 2018,18449
Sun Nov 04 2018,18454
Mon Nov 05 2018,18458
Tue Nov 06 2018,18467
Wed Nov 07 2018,18495
Thu Nov 08 2018,18508
Fri Nov 09 2018,18473
Sat Nov 10 2018,18478
Sun Nov 11 2018,18485
Mon Nov 12 2018,18498
Tue Nov 13 2018,18540
Wed Nov 14 2018,18561
Thu Nov 15 2018,18577
Fri Nov 16 2018,18619
Sat Nov 17 2018,18633
Sun Nov 18 2018,18628
Mon Nov 19 2018,18621
Tue Nov 20 2018,18631
Wed Nov 21 2018,18628
Thu Nov 22 2018,18621
Fri Nov 23 2018,18636
Sat Nov 24 2018,18647
Sun Nov 25 2018,18657
Mon Nov 26 2018,18658
Tue Nov 27 2018,18668
Wed Nov 28 2018,18677
Thu Nov 29 2018,18676
Fri Nov 30 2018,18672
Sat Dec 01 2018,18664
Sun Dec 02 2018,18655
Mon Dec 03 2018,18653
Tue Dec 04 2018,18690
Wed Dec 05 2018,18675
Thu Dec 06 2018,18662
Fri Dec 07 2018,18666
Sat Dec 08 2018,18668
Sun Dec 09 2018,18664
Mon Dec 10 2018,18656
Tue Dec 11 2018,18684
Wed Dec 12 2018,18678
Thu Dec 13 2018,18691
Fri Dec 14 2018,18695
Sat Dec 15 2018,18698
Sun Dec 16 2018,18694
Mon Dec 17 2018,18694
Tue Dec 18 2018,18657
Wed Dec 19 2018,18675
Thu Dec 20 2018,18697
Fri Dec 21 2018,18688
Sat Dec 22 2018,18684
Sun Dec 23 2018,18685
Mon Dec 24 2018,18732
Tue Dec 25 2018,18725
Wed Dec 26 2018,18725
Thu Dec 27 2018,18713
Fri Dec 28 2018,18717
Sat Dec 29 2018,18719
Sun Dec 30 2018,18717
Mon Dec 31 2018,18706
Tue Jan 01 2019,18706
Wed Jan 02 2019,18713
