Country,Currency,Indicator_Name,GDP_Year_1970,GDP_Year_1971,GDP_Year_1972,GDP_Year_1973,GDP_Year_1974,GDP_Year_1975,GDP_Year_1976,GDP_Year_1977,GDP_Year_1978,GDP_Year_1979,GDP_Year_1980,GDP_Year_1981,GDP_Year_1982,GDP_Year_1983,GDP_Year_1984,GDP_Year_1985,GDP_Year_1986,GDP_Year_1987,GDP_Year_1988,GDP_Year_1989,GDP_Year_1990,GDP_Year_1991,GDP_Year_1992,GDP_Year_1993,GDP_Year_1994,GDP_Year_1995,GDP_Year_1996,GDP_Year_1997,GDP_Year_1998,GDP_Year_1999,GDP_Year_2000,GDP_Year_2001,GDP_Year_2002,GDP_Year_2003,GDP_Year_2004,GDP_Year_2005,GDP_Year_2006,GDP_Year_2007,GDP_Year_2008,GDP_Year_2009,GDP_Year_2010,GDP_Year_2011,GDP_Year_2012,GDP_Year_2013,GDP_Year_2014,GDP_Year_2015,GDP_Year_2016,GDP_Year_2017,GDP_Year_2018,GDP_Year_2019,GDP_Year_2020
Guatemala,Quetzal,Manufacturing (ISIC D),301248393,318654585,331518149,410451877,496502228,553392222,681425703,878439401,986499510,1131044669,1314597959,1382558980,1375801766,1437986782,1504995660,1774654826,2526128851,2783573515,3176364927,3603741211,5176694885,7046768557,7922707828,9334418447,10736303943,12046073028,13367418179,14861923218,16864562375,18165341219,19767007543,21501081998,22365587107,23905749457,26742020687,28891603008,32009709517,35609847183,40624696468,42708317415,46160246488,51447716295,56124950423,60027565986,62968556939,68196593579,71237057380,74450475957,76870190074,81818716349,84430467720
Guatemala,Quetzal,Construction (ISIC F),31133022,31512275,36076996,47565235,54867495,69370722,112287901,152251217,171833716,202956946,238962649,279715104,271809401,239095007,209799041,243359461,375779763,419068116,556159133,662470767,923399570,1266264559,1645610777,1964261175,2266170875,2681220567,3101235105,3825914866,4503475570,5185423535,5683058062,5984389056,7916595739,8711074162,9236055758,9993710231,12192869433,13862083395,15667035181,14508670263,13848767669,15213784392,16976105211,17835379316,20864579733,23185550501,25297632192,25116135867,26009979949,30545623168,30654163104
Guatemala,Quetzal,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",247694597,255662310,267943690,327361128,406402717,469372571,552996346,697039404,774249974,882590167,1008812186,1104193128,1126038580,1180269106,1245614883,1466792935,2071072346,2310689457,2669850110,3094926583,4490233597,6229603357,7112296084,8548061437,10040414247,11521870564,12932704404,14636910903,16881578139,18503570901,20773698269,22842562722,25165244858,27681063311,30594409904,35859790036,39617475071,45934904322,54443807482,55397415115,62045048272,71674343022,78722558665,87508685267,95353791489,100857000000,109895000000,117225000000,122855000000,132384000000,128906000000
Guatemala,Quetzal,"Transport, storage and communication (ISIC I)",78838794,81374839,85283884,104195879,129354052,149396749,176013385,221860892,246436291,280919892,321095134,351454108,358407018,375668200,396467789,466864658,659202953,735474941,849773682,985097646,1429231236,1982654734,2263999650,2720915801,3194461900,3669686422,4116040326,4650410517,5393827084,5876202713,6566164952,7421962449,7845466638,8627860812,10311473998,11935324437,14393905120,17316930735,21085401636,23342577453,24929067479,27598345720,28935355425,30196015239,31525418932,35379911831,36716679819,37347953529,38421894245,40622898141,40066583002
Guatemala,Quetzal,Other Activities (ISIC J-P),556905486,574819735,602432642,736024160,913737741,1055316357,1243332327,1567192283,1740789141,1984376393,2268168143,2482618887,2531734912,2653663462,2800586994,3297870561,4656500035,5195271908,6002749625,6958463035,10095845862,14005986190,15990854560,19220904516,22570620487,25906603668,29088984876,32877473941,37982849231,41662939175,46472342507,51653774648,56787582898,60738589484,65349869064,70406573981,77741320159,86978743607,96769435262,103589000000,111568000000,119266000000,126662000000,135620000000,145536000000,156274000000,164061000000,174358000000,185677000000,198372000000,201764000000
Guatemala,Quetzal,Total Value Added,1516836661,1579038506,1667700111,2044289579,2513077763,2895591899,3490230464,4406835437,4893585437,5578670293,6387341850,6972700194,7050115096,7299987086,7616486917,8981656385,12748513517,14228293767,16529590424,19071115305,27586147032,38031479022,43535567313,51885329660,60377062215,68957090125,77355858583,87585219959,100830000000,110206000000,122016000000,134434000000,148047000000,158735000000,173703000000,190179000000,210249000000,239260000000,272310000000,286081000000,308491000000,341582000000,364370000000,392018000000,421228000000,448192000000,472698000000,495314000000,516952000000,556661000000,564416000000
Guinea,Guinea Franc,Final consumption expenditure,81594990733,90793049870,98161534479,109662000000,120225000000,129159000000,148292000000,150831000000,164103000000,174424000000,185684000000,209038000000,283379000000,354464000000,455388000000,580913000000,957359000000,1268310000000,1733870000000,2054140000000,2402210000000,2875430000000,4037500000000,4257450000000,4661710000000,5469430000000,5638710000000,5993250000000,6014850000000,6702050000000,6985310000000,7859570000000,8027760000000,8587490000000,10563000000000,13291000000000,21113900000000,26528000000000,30344000000000,33369700000000,36315400000000,43683400000000,50358300000000,60174100000000,61929400000000,69308600000000,77416800000000,84132000000000,95116500000000,108341000000000,128204000000000
Guinea,Guinea Franc,Household consumption expenditure (including Non-profit institutions serving households),73230478360,81485620791,88098743087,98420680579,107900000000,115918000000,133090000000,135369000000,147280000000,156543000000,166649000000,187609000000,254329000000,318127000000,408705000000,521362000000,859218000000,1133870000000,1570820000000,1837290000000,2153580000000,2538790000000,3528100000000,3721830000000,4158390000000,5030740000000,5168960000000,5515810000000,5510650000000,6171250000000,6462290000000,7322140000000,7361890000000,7807210000000,9676040000000,12351700000000,19750600000000,24740600000000,28431000000000,30156300000000,31383200000000,36915400000000,42634400000000,49253100000000,50973600000000,56470700000000,64401600000000,69798000000000,78574800000000,89326100000000,105990000000000
Guinea,Guinea Franc,General government final consumption expenditure,8364512374,9307429079,10062791392,11241781050,12324580710,13240400130,15201811148,15462046160,16822596778,17880670207,19034934360,21429009097,29049879447,36336977762,46683035440,59550903595,98141396836,134441000000,163048000000,216852000000,248626000000,336635000000,509406000000,535615000000,503328000000,438688000000,469746000000,477437000000,504203000000,530799000000,523019000000,537427000000,665866000000,780283000000,887013000000,939315000000,1363300000000,1787440000000,1913000000000,3213460000000,4932190000000,6768030000000,7723850000000,10921000000000,10955800000000,12837900000000,13015200000000,14334100000000,16541700000000,19015300000000,22213400000000
Guinea,Guinea Franc,Gross capital formation,7842685091,8729195453,9431447798,10536609043,11531041281,12446784167,14277150335,14444700543,15768412462,16581205299,18327121839,20031550723,26441577624,34638558937,40948051939,51164578837,106948000000,153103000000,208099000000,266208000000,462761000000,540278000000,654485000000,704241000000,698493000000,659751000000,733169000000,756931000000,991565000000,910995000000,1405790000000,1149420000000,1387560000000,2421250000000,2900810000000,4208210000000,5337090000000,6175750000000,8401990000000,6871050000000,7976390000000,10866300000000,13884600000000,13594700000000,14048900000000,15906500000000,40602100000000,20897200000000,20885400000000,31064200000000,34767800000000
Guinea,Guinea Franc,Gross fixed capital formation (including Acquisitions less disposals of valuables),6716720726,7475955918,8077386784,9023881429,9875544290,10659815130,12227397946,12370893182,13504561458,14200662656,15695920171,17155646359,22645393816,29665544905,35069191989,43818945060,91593497910,131122000000,178222000000,227989000000,372301000000,438024000000,532801000000,572493000000,555231000000,541049000000,599234000000,625506000000,828318000000,762063000000,1113530000000,846859000000,1050670000000,1708600000000,2057180000000,3119710000000,4335300000000,6505450000000,7239250000000,6751400000000,7510090000000,10662400000000,13402400000000,13557300000000,13984100000000,15778700000000,40408200000000,24177100000000,20800000000000,21526600000000,24093000000000
